P,eta,etaP,Vs,d,r0,K,cp,alpha,rho,Tv-T0,Lv,Tl-T0,Lm,e,Ke,e*
103.198,0.44,45.62,0.4,0.000095,0.0000475,33.4,830,1.02656E-05,3920,3267,9255000,1630,286000,0.000033008,4.127513106,0.694905263
129.36,0.50,64.64,0.4,0.000095,0.0000475,33.4,830,1.02656E-05,3920,3267,9255000,1630,286000,8.53234E-05,5.848969038,1.796282105
155.523,0.54,84.68,0.4,0.000095,0.0000475,33.4,830,1.02656E-05,3920,3267,9255000,1630,286000,0.000130389,7.662081909,2.745031579
206.395,0.60,124.86,0.4,0.000095,0.0000475,33.4,830,1.02656E-05,3920,3267,9255000,1630,286000,0.000226766,11.29697735,4.774021053
228.198,0.62,142.17,0.4,0.000095,0.0000475,33.4,830,1.02656E-05,3920,3267,9255000,1630,286000,0.00025932,12.86357718,5.459368421
103.198,0.34,35.11,0.6,0.000095,0.0000475,33.4,830,1.02656E-05,3920,3267,9255000,1630,286000,0.000015258,2.593641917,0.321221053
155.523,0.44,68.94,0.6,0.000095,0.0000475,33.4,830,1.02656E-05,3920,3267,9255000,1630,286000,7.66388E-05,5.092703159,1.613448421
181.686,0.48,87.78,0.6,0.000095,0.0000475,33.4,830,1.02656E-05,3920,3267,9255000,1630,286000,0.000102954,6.484480248,2.167452632
207.849,0.52,107.41,0.6,0.000095,0.0000475,33.4,830,1.02656E-05,3920,3267,9255000,1630,286000,0.00011927,7.935318397,2.510947368
260.174,0.57,148.11,0.6,0.000095,0.0000475,33.4,830,1.02656E-05,3920,3267,9255000,1630,286000,0.0001694,10.94158073,3.566315789
286.337,0.59,168.81,0.6,0.000095,0.0000475,33.4,830,1.02656E-05,3920,3267,9255000,1630,286000,0.000204466,12.47124559,4.304547368
363.372,0.63,229.94,0.6,0.000095,0.0000475,33.4,830,1.02656E-05,3920,3267,9255000,1630,286000,0.000310908,16.98722397,6.545431579
415.698,0.65,271.05,0.6,0.000095,0.0000475,33.4,830,1.02656E-05,3920,3267,9255000,1630,286000,0.000361039,20.02448074,7.600821053
468.023,0.67,311.60,0.6,0.000095,0.0000475,33.4,830,1.02656E-05,3920,3267,9255000,1630,286000,0.00039992,23.0198807,8.419368421
103.198,0.30,31.40,0.7,0.000095,0.0000475,33.4,830,1.02656E-05,3920,3267,9255000,1630,286000,0.000015258,2.147941128,0.321221053
