Material,etamP,V,d,rho,Cp,alpha,Tm-T0,H,L,Phi
Inconel 718,1.89E+02,0.4,1.00E-04,7.40E+03,7.20E+02,5.56E-06,1316,8.00E-05,6.00E-05,0.0357
Inconel 718,1.89E+02,0.6,1.00E-04,7.40E+03,7.20E+02,5.56E-06,1316,8.00E-05,6.00E-05,0.0143
Inconel 718,1.89E+02,0.8,1.00E-04,7.40E+03,7.20E+02,5.56E-06,1316,8.00E-05,6.00E-05,0.0032
Inconel 718,1.89E+02,1,1.00E-04,7.40E+03,7.20E+02,5.56E-06,1316,8.00E-05,6.00E-05,0.0051
Inconel 718,1.89E+02,1.2,1.00E-04,7.40E+03,7.20E+02,5.56E-06,1316,8.00E-05,6.00E-05,0.0036
Inconel 718,1.89E+02,1.4,1.00E-04,7.40E+03,7.20E+02,5.56E-06,1316,8.00E-05,6.00E-05,0.0085
Inconel 718,1.89E+02,1.6,1.00E-04,7.40E+03,7.20E+02,5.56E-06,1316,8.00E-05,6.00E-05,0.0103
Inconel 718,1.73E+02,0.4,1.00E-04,7.40E+03,7.20E+02,5.56E-06,1316,8.00E-05,6.00E-05,0.0353
Inconel 718,1.05E+02,0.6,1.00E-04,7.40E+03,7.20E+02,5.56E-06,1316,8.00E-05,6.00E-05,0.0052
Inconel 718,1.73E+02,0.8,1.00E-04,7.40E+03,7.20E+02,5.56E-06,1316,8.00E-05,6.00E-05,0.0066
Inconel 718,1.73E+02,1,1.00E-04,7.40E+03,7.20E+02,5.56E-06,1316,8.00E-05,6.00E-05,0.006
Inconel 718,1.73E+02,1.2,1.00E-04,7.40E+03,7.20E+02,5.56E-06,1316,8.00E-05,6.00E-05,0.007
Inconel 718,1.73E+02,1.4,1.00E-04,7.40E+03,7.20E+02,5.56E-06,1316,8.00E-05,6.00E-05,0.0097
Inconel 718,1.73E+02,1.6,1.00E-04,7.40E+03,7.20E+02,5.56E-06,1316,8.00E-05,6.00E-05,0.024
Inconel 718,1.53E+02,0.4,1.00E-04,7.40E+03,7.20E+02,5.56E-06,1316,8.00E-05,6.00E-05,0.031
Inconel 718,1.53E+02,0.6,1.00E-04,7.40E+03,7.20E+02,5.56E-06,1316,8.00E-05,6.00E-05,0.0037
Inconel 718,1.53E+02,0.8,1.00E-04,7.40E+03,7.20E+02,5.56E-06,1316,8.00E-05,6.00E-05,0.0063
Inconel 718,1.53E+02,1,1.00E-04,7.40E+03,7.20E+02,5.56E-06,1316,8.00E-05,6.00E-05,0.0045
Inconel 718,1.53E+02,1.2,1.00E-04,7.40E+03,7.20E+02,5.56E-06,1316,8.00E-05,6.00E-05,0.0072
Inconel 718,1.53E+02,1.4,1.00E-04,7.40E+03,7.20E+02,5.56E-06,1316,8.00E-05,6.00E-05,0.0183
Inconel 718,1.53E+02,1.6,1.00E-04,7.40E+03,7.20E+02,5.56E-06,1316,8.00E-05,6.00E-05,0.0206
Inconel 718,1.33E+02,0.4,1.00E-04,7.40E+03,7.20E+02,5.56E-06,1316,8.00E-05,6.00E-05,0.0244
Inconel 718,1.33E+02,0.6,1.00E-04,7.40E+03,7.20E+02,5.56E-06,1316,8.00E-05,6.00E-05,0.0034
