case,source,q,h,delta_T,lambda,g,alpha,v,k,Ra,Nu
rb,Niemela,0.41405785,0.125,1.52E-01,0.009751925,9.81,0.204081633,1.93023E-06,2.79743E-06,1.10E+08,3.49E+01
rb,Niemela,0.642731865,0.125,1.52E-01,0.013684615,9.81,0.283080974,1.92758E-06,2.7936E-06,1.53E+08,3.87E+01
rb,Niemela,0.922844802,0.125,1.52E-01,0.018286011,9.81,0.375246873,1.98112E-06,2.87119E-06,1.92E+08,4.15E+01
rb,Niemela,0.414567146,0.125,1.52E-01,0.007377841,9.81,0.157998683,1.06462E-06,1.52089E-06,2.84E+08,4.62E+01
rb,Niemela,0.643241161,0.125,1.52E-01,0.01045073,9.81,0.223831468,1.09116E-06,1.5588E-06,3.83E+08,5.07E+01
rb,Niemela,0.922844802,0.125,1.52E-01,0.013717811,9.81,0.289664253,1.0715E-06,1.53072E-06,5.14E+08,5.54E+01
rb,Niemela,1.254905955,0.125,1.52E-01,0.017577437,9.81,0.368663594,1.09361E-06,1.5623E-06,6.28E+08,5.88E+01
rb,Niemela,0.413548553,0.125,1.52E-01,0.00515626,9.81,0.118499013,5.15343E-07,7.15754E-07,9.35E+08,6.60E+01
rb,Niemela,0.923863394,0.125,1.52E-01,0.010725963,9.81,0.236998025,6.46974E-07,9.11231E-07,1.17E+09,7.09E+01
rb,Niemela,0.643241161,0.125,1.52E-01,0.007314211,9.81,0.164581962,5.23179E-07,7.26638E-07,1.26E+09,7.24E+01
rb,Niemela,0.923354098,0.125,1.52E-01,0.009672061,9.81,0.21724819,5.22113E-07,7.25157E-07,1.67E+09,7.86E+01
rb,Niemela,1.254905955,0.125,1.52E-01,0.012306929,9.81,0.276497696,5.2906E-07,7.34806E-07,2.07E+09,8.39E+01
rb,Niemela,0.414567146,0.125,1.52E-01,0.003645948,9.81,0.092165899,2.69681E-07,3.50235E-07,2.84E+09,9.36E+01
rb,Niemela,0.643241161,0.125,1.52E-01,0.005084817,9.81,0.125082291,2.52117E-07,3.27425E-07,4.41E+09,1.04E+02
rb,Niemela,0.924881987,0.125,1.52E-01,0.006819843,9.81,0.17116524,2.70561E-07,3.51379E-07,5.24E+09,1.12E+02
rb,Niemela,0.922335505,0.125,1.52E-01,0.006531832,9.81,0.164581962,2.44695E-07,3.13711E-07,6.24E+09,1.16E+02
rb,Niemela,1.255924548,0.125,1.52E-01,0.008301306,9.81,0.210664911,2.46824E-07,3.16441E-07,7.85E+09,1.25E+02
rb,Niemela,1.636878141,0.125,1.52E-01,0.010639835,9.81,0.263331139,2.72453E-07,3.53835E-07,7.95E+09,1.27E+02
rb,Niemela,1.636878141,0.125,1.52E-01,0.010189131,9.81,0.25674786,2.47565E-07,3.17391E-07,9.51E+09,1.32E+02
rb,Niemela,2.070798545,0.125,1.52E-01,0.012259571,9.81,0.30283081,2.46653E-07,3.16222E-07,1.13E+10,1.39E+02
rb,Niemela,0.414567146,0.125,1.52E-01,0.002331862,9.81,0.072416063,1.21734E-07,1.3526E-07,1.28E+10,1.46E+02
rb,Niemela,0.642731865,0.125,1.52E-01,0.003254833,9.81,0.105332456,1.24852E-07,1.38724E-07,1.77E+10,1.63E+02
rb,Niemela,0.923354098,0.125,1.52E-01,0.004341927,9.81,0.138248848,1.24136E-07,1.37928E-07,2.35E+10,1.75E+02
rb,Niemela,1.255415252,0.125,1.52E-01,0.005466103,9.81,0.17116524,1.23701E-07,1.37446E-07,2.93E+10,1.89E+02
rb,Niemela,1.636368845,0.125,1.52E-01,0.006709437,9.81,0.210664911,1.24326E-07,1.3814E-07,3.57E+10,2.01E+02
rb,Niemela,1.635350253,0.125,1.52E-01,0.006213046,9.81,0.204081633,1.12818E-07,1.21309E-07,4.34E+10,2.17E+02
rb,Niemela,2.069779952,0.125,1.52E-01,0.007450753,9.81,0.243581303,1.13146E-07,1.21662E-07,5.15E+10,2.29E+02
rb,Niemela,2.06876136,0.125,1.52E-01,0.007105192,9.81,0.243581303,1.0666E-07,1.12274E-07,5.92E+10,2.40E+02
rb,Niemela,2.070289248,0.125,1.52E-01,0.00648273,9.81,0.236998025,9.4507E-08,9.35713E-08,7.80E+10,2.63E+02
rb,Niemela,2.553611388,0.125,1.52E-01,0.007334701,9.81,0.250164582,8.75004E-08,8.4135E-08,9.89E+10,2.87E+02
rb,Niemela,3.084807375,0.125,1.52E-01,0.008799023,9.81,0.276497696,8.97066E-08,8.79476E-08,1.02E+11,2.89E+02
rb,Niemela,3.25644021,0.125,1.52E-01,0.008550595,9.81,0.283080974,8.14141E-08,7.6088E-08,1.33E+11,3.13E+02
rb,Niemela,2.554120684,0.125,1.52E-01,0.006246095,9.81,0.243581303,7.4043E-08,6.38301E-08,1.50E+11,3.37E+02
rb,Niemela,2.069270656,0.125,1.52E-01,0.005034959,9.81,0.243581303,7.19651E-08,5.89878E-08,1.67E+11,3.38E+02
rb,Niemela,2.55055561,0.125,1.52E-01,0.005681855,9.81,0.263331139,6.84069E-08,5.38637E-08,2.08E+11,3.69E+02
rb,Niemela,3.085825967,0.125,1.52E-01,0.006612907,9.81,0.30283081,6.80234E-08,5.39868E-08,2.40E+11,3.84E+02
rb,Niemela,2.552083499,0.125,1.52E-01,0.004976622,9.81,0.263331139,6.00793E-08,4.11502E-08,3.10E+11,4.22E+02
rb,Niemela,2.55462998,0.125,1.52E-01,0.00478432,9.81,0.276497696,5.91763E-08,3.91896E-08,3.47E+11,4.39E+02
rb,Niemela,3.522292852,0.125,1.52E-01,0.006445473,9.81,0.335747202,5.98165E-08,4.12528E-08,3.96E+11,4.50E+02
rb,Niemela,3.518218482,0.125,1.52E-01,0.005246786,9.81,0.362080316,5.24068E-08,2.84819E-08,7.06E+11,5.52E+02
rb,Niemela,2.552083499,0.125,1.52E-01,0.003554129,9.81,0.30283081,4.79919E-08,2.13297E-08,8.61E+11,5.91E+02
rb,Niemela,3.522292852,0.125,1.52E-01,0.00458483,9.81,0.375246873,4.79559E-08,2.18977E-08,1.04E+12,6.32E+02
rb,Niemela,4.313229925,0.125,1.52E-01,0.005672685,9.81,0.381830151,4.66974E-08,2.24507E-08,1.06E+12,6.26E+02
