station,lat,lon,k,G,z,d,Q,quality,method
C11-44,-56.5667,34.1833,0.77,300.0,11.0,5372.0,229.0,S3,Unconsolidated sediments
C11-45,-56.3,51.9667,0.72,19.0,11.0,5386.0,14.0,S3,Unconsolidated sediments
C11-47,-52.7,54.0,0.72,90.0,11.0,4585.0,65.0,S3,Unconsolidated sediments
C11-48,-50.4667,59.5833,0.75,360.0,7.0,4839.0,271.0,S3,Unconsolidated sediments
C11-49,-50.3167,61.2,0.68,120.0,11.0,4640.0,81.0,S3,Unconsolidated sediments
GEOSECS 7-1 ,-61.4617,170.1817,0.68,87.0,2.0,4000.0,59.0,S1,Unconsolidated sediments
GEOSECS 7-2 ,-61.0717,170.1033,0.68,140.0,2.0,3764.0,95.0,S1,Unconsolidated sediments
GEOSECS 7-3 ,-62.4667,170.05,0.75,116.0,2.0,2198.0,87.0,S1,Unconsolidated sediments
GEOSECS 7-4 ,-62.9833,170.0,0.75,142.0,2.0,2364.0,106.0,S1,Unconsolidated sediments
GEOSECS 7-6 ,-64.1333,169.9833,0.75,154.0,2.0,3091.0,116.0,S1,Unconsolidated sediments
GEOSECS 7-7 ,-64.6333,170.0,0.75,150.0,2.0,3182.0,113.0,S1,Unconsolidated sediments
GEOSECS 7-8 ,-69.0333,-172.9667,0.69,69.0,2.0,4150.0,47.0,S1,Unconsolidated sediments
GEOSECS 7-9 ,-67.7333,-174.0,0.69,104.0,2.0,3810.0,69.0,S1,Unconsolidated sediments
GEOSECS 7-10,-61.9867,-174.0,0.67,103.0,2.0,3962.0,69.0,S1,Unconsolidated sediments
GEOSECS 7-11,-59.0,-175.5833,0.71,247.0,2.0,5034.0,176.0,S1,Unconsolidated sediments
GEOSECS 7-12,-55.6,-175.82,0.72,84.0,2.0,5159.0,60.0,S1,Unconsolidated sediments
GEOSECS 7-13,-55.1417,-176.1333,0.72,96.0,2.0,5295.0,69.0,S1,Unconsolidated sediments
GEOSECS 7-14,-54.0,-176.75,0.72,103.0,2.0,5401.0,74.0,S1,Unconsolidated sediments
GEOSECS 7-15,-53.1333,-177.5917,0.75,99.0,2.0,5379.0,75.0,S1,Unconsolidated sediments
GEOSECS 7-16,-53.2167,-178.1567,0.75,89.0,2.0,5275.0,67.0,S1,Unconsolidated sediments
MONSOON 7-50,-57.9667,168.8833,0.79,55.0,1.0,5240.0,44.0,S1,Unconsolidated sediments
MONSOON 7-51,-60.9667,170.2833,0.68,131.0,2.0,4755.0,89.0,S1,Unconsolidated sediments
MONSOON 7-52,-63.0833,178.4667,0.66,52.0,2.0,3850.0,34.0,S1,Unconsolidated sediments
MONSOON 7-53,-64.2167,-165.9,0.69,72.0,2.0,2920.0,49.0,S1,Unconsolidated sediments
MONSOON 7-54,-63.2833,-166.9167,0.7,61.0,1.0,2640.0,43.0,S1,Unconsolidated sediments
MONSOON 7-57,-54.5167,-177.1833,0.72,67.0,2.0,5320.0,48.0,S1,Unconsolidated sediments
MONSOON 7-58,-51.1,179.8167,0.75,70.0,2.0,4835.0,53.0,S1,Unconsolidated sediments
ANT008St6 ,-76.0667,164.8833,0.68,98.0,1.4,912.0,66.3,S2,Unconsolidated sediments
ANT009ST9 ,-74.4833,168.1667,0.73,108.0,2.4,909.0,73.3,S2,Unconsolidated sediments
DVDP-3/Ross Island,-77.85,166.675,2.01,45.0,40.0,48.0,92.0,R2,Bedrock borehole
DVDP-3/Ross Island,-77.85,166.675,2.26,37.0,60.0,48.0,84.0,R2,Bedrock borehole
DVDP-3/Ross Island,-77.85,166.675,2.47,30.0,60.0,48.0,75.0,R2,Bedrock borehole
DVDP-6/Lake Vida,-77.38,161.81,2.64,33.0,130.0,349.0,88.0,R2,Bedrock borehole
DVDP-6/Lake Vida,-77.38,161.81,3.39,26.0,45.0,349.0,85.0,R2,Bedrock borehole
DVDP-6/Lake Vida,-77.38,161.81,3.39,26.0,115.0,349.0,85.0,R2,Bedrock borehole
DVDP-8 New Harbor,-77.5783,163.5117,1.92,64.0,105.0,135.0,124.0,R2,Bedrock borehole
DVDP-10 New Harbor,-77.5783,163.5117,1.92,61.0,100.0,160.0,117.0,R2,Bedrock borehole
DVDP-11/Commonwe,-77.59,163.4117,1.92,48.0,210.0,80.0,92.0,R2,Bedrock borehole
DVDP-12/Lake Leon,-77.6333,162.8533,3.47,29.0,20.0,75.0,100.0,R2,Bedrock borehole
DVDP-14/North Fork,-77.54,161.4067,2.93,48.0,30.0,68.0,142.0,R2,Bedrock borehole
DVDP-15/McMurdo So,-77.4367,164.38,2.93,32.0,25.0,122.0,73.0,R2,Bedrock borehole
CRP-3 ,-77.006,163.719,2.1,28.5,900.0,900.0,60.0,R2,Bedrock borehole
Mt. Billing ,-75.68,160.8033,2.1,12.0,102.0,102.0,25.0,I1,Ice borehole
Mt. Howard,-75.6583,161.2133,2.1,24.0,83.0,83.0,50.0,I1,Ice borehole
Ricker Hills,-75.7583,158.84,2.1,13.0,51.0,51.0,27.0,I1,Ice borehole
Drygalsky02 ,-75.0208,165.9194,1.3,94.0,3.0,1020.0,125.0,S1,Unconsolidated sediments
Drygalsky02 ,-75.06,165.71,1.3,95.0,3.0,1032.0,121.0,S1,Unconsolidated sediments
Drygalsky03 ,-75.13,165.29,0.9,57.0,2.0,1060.0,51.0,S1,Unconsolidated sediments
Terror Rift04,-76.12,165.12,1.3,77.0,4.0,865.0,100.0,S2,Unconsolidated sediments
Terror Rift05,-76.16,165.09,1.1,83.0,4.0,870.0,91.0,S2,Unconsolidated sediments
Terror Rift06,-76.16,165.07,0.9,109.0,4.0,870.0,98.0,S1,Unconsolidated sediments
Terror Rift07,-76.1,164.99,1.1,72.0,3.0,885.0,78.0,S1,Unconsolidated sediments
Terror Rift08,-76.11,164.99,1.0,99.0,3.0,875.0,103.0,S1,Unconsolidated sediments
Terror Rift09,-76.04,164.99,0.9,91.0,4.0,875.0,87.0,S2,Unconsolidated sediments
Terror Rift10,-76.04,165.0,1.1,88.0,4.0,880.0,100.0,S2,Unconsolidated sediments
Terror Rift11,-76.05,164.89,1.2,88.0,4.0,885.0,105.0,S2,Unconsolidated sediments
Terror Rift12,-76.05,164.92,1.0,123.0,4.0,893.0,118.0,S2,Unconsolidated sediments
BDIS2.1 ,-63.39,-68.45,0.99,110.0,5.2,3559.0,122.0,S3,Unconsolidated sediments
BDIS2.2 ,-63.38,-68.43,1.09,105.0,5.2,3560.0,129.0,S3,Unconsolidated sediments
BDIS2.3 ,-63.37,-68.41,1.07,104.0,5.2,3558.0,124.0,S3,Unconsolidated sediments
BDIS2.4 ,-63.36,-68.41,1.03,107.0,5.2,3561.0,123.0,S3,Unconsolidated sediments
BDIS2.5 ,-63.36,-68.42,1.1,107.0,5.2,3568.0,118.0,S3,Unconsolidated sediments
BDIS2.6 ,-63.35,-68.42,1.0,106.0,5.2,3577.0,119.0,S3,Unconsolidated sediments
BDIS3.1 ,-63.67,-66.61,1.01,125.0,5.2,3331.0,154.0,S3,Unconsolidated sediments
BDIS3.2 ,-63.67,-66.62,0.97,119.0,5.2,3337.0,141.0,S3,Unconsolidated sediments
BDIS3.3 ,-63.67,-66.6,1.03,116.0,5.2,3329.0,147.0,S3,Unconsolidated sediments
BDIS3.4 ,-63.69,-66.61,1.05,130.0,5.2,3340.0,167.0,S3,Unconsolidated sediments
BDIS3.6 ,-63.69,-66.54,0.86,135.0,5.2,3309.0,141.0,S3,Unconsolidated sediments
BDIS3.7 ,-63.69,-66.53,0.93,126.0,5.2,3308.0,143.0,S3,Unconsolidated sediments
BDIS5.1 ,-63.75,-66.41,0.97,150.0,3.0,3294.0,178.0,S3,Unconsolidated sediments
BDIS5.2 ,-63.75,-66.41,0.97,147.0,2.2,3294.0,174.0,S3,Unconsolidated sediments
BDIS6.1 ,-63.82,-66.35,0.97,64.0,1.5,3075.0,77.0,S1,Unconsolidated sediments
BDIS7A.3,-64.38,-66.77,1.02,96.0,2.2,480.0,122.0,S1,Unconsolidated sediments
BDIS7A.4,-64.38,-66.76,1.08,65.0,2.2,490.0,89.0,S1,Unconsolidated sediments
BDIS7A.5,-64.38,-66.76,1.08,38.0,3.0,490.0,44.0,S1,Unconsolidated sediments
BDIS7A.6,-64.38,-66.76,1.04,28.0,2.2,490.0,31.0,S1,Unconsolidated sediments
BDIS7A.7,-64.38,-66.75,1.1,40.0,1.5,494.0,63.0,S1,Unconsolidated sediments
BDIS7A.8,-64.39,-66.73,0.95,56.0,1.5,516.0,103.0,S1,Unconsolidated sediments
BDIS7B.10 ,-64.37,-66.61,0.99,97.0,3.0,534.0,109.0,S1,Unconsolidated sediments
BDIS7B.11 ,-64.37,-66.61,1.03,81.0,3.0,534.0,104.0,S1,Unconsolidated sediments
BDIS7B.12 ,-64.37,-66.6,1.02,55.0,2.2,534.0,89.0,S1,Unconsolidated sediments
BDIS7B.13 ,-64.37,-66.64,0.92,77.0,3.0,535.0,60.0,S1,Unconsolidated sediments
BDIS7B.14 ,-64.37,-66.64,0.98,85.0,3.0,534.0,75.0,S1,Unconsolidated sediments
BDIS7B.15 ,-64.37,-66.65,0.9,61.0,3.0,535.0,90.0,S1,Unconsolidated sediments
BDIS7B.16 ,-64.37,-66.66,0.95,66.0,2.2,535.0,59.0,S1,Unconsolidated sediments
BDIS7B.17 ,-64.37,-66.67,0.95,45.0,1.5,535.0,88.0,S1,Unconsolidated sediments
BDIS7B.19 ,-64.37,-66.67,0.93,65.0,1.5,535.0,54.0,S1,Unconsolidated sediments
BDIS7B.9,-64.37,-66.62,0.99,103.0,1.5,534.0,86.0,S1,Unconsolidated sediments
HF1 ,-74.5087,-134.1226,1.0,38.0,2.8,893.0,38.0,S1,Unconsolidated sediments
HF2 ,-74.8332,-103.499,0.9395604395604397,18.2,2.8,1021.0,17.1,S1,Unconsolidated sediments
HF3 ,-74.7413,-104.3923,0.9401709401709403,11.7,2.8,1104.0,11.0,S1,Unconsolidated sediments
HF4 ,-74.7473,-105.2005,0.9396226415094339,26.5,2.8,1302.0,24.9,S1,Unconsolidated sediments
HF5 ,-74.6696,-106.6065,0.9398734177215189,31.6,2.8,1184.0,29.7,S1,Unconsolidated sediments
HF6 ,-74.6017,-106.6113,0.9398907103825137,54.9,2.8,1353.0,51.6,S1,Unconsolidated sediments
HF7 ,-74.3333,-106.0,0.9413919413919414,54.6,2.8,1386.0,51.4,S1,Unconsolidated sediments
HF8 ,-74.2088,-105.5499,0.9414414414414414,44.4,2.8,1644.0,41.8,S1,Unconsolidated sediments
HF9 ,-74.1388,-106.7303,0.9401408450704225,56.8,2.8,1468.0,53.4,S1,Unconsolidated sediments
HF10,-74.0015,-105.6923,0.940983606557377,30.5,2.8,1037.0,28.7,S1,Unconsolidated sediments
HF12,-74.0417,-106.1847,0.9393939393939394,33.0,2.8,1111.0,31.0,S1,Unconsolidated sediments
HF13,-73.5238,-106.2004,0.9393939393939393,46.2,2.8,806.0,43.4,S1,Unconsolidated sediments
HF14,-73.5286,-106.1978,0.9419087136929459,24.1,2.8,813.0,22.7,S1,Unconsolidated sediments
HF15,-73.5187,-106.2015,0.9416342412451362,25.7,2.8,814.0,24.2,S1,Unconsolidated sediments
HF16,-73.5209,-106.2015,0.9439252336448598,10.7,2.8,795.0,10.1,S1,Unconsolidated sediments
HF17,-73.5181,-106.2049,0.7787307032590052,58.3,2.8,795.0,45.4,S1,Unconsolidated sediments
HF18,-71.8796,-103.3874,0.9372937293729372,30.3,2.8,752.0,28.4,S1,Unconsolidated sediments
HF19,-71.7448,-103.3282,0.9400998336106489,60.1,2.8,768.0,56.5,S1,Unconsolidated sediments
HF20,-71.4534,-103.0007,0.9388489208633094,27.8,2.8,626.0,26.1,S1,Unconsolidated sediments
HF21,-71.0663,-102.3667,0.9382716049382716,32.4,2.8,1447.0,30.4,S1,Unconsolidated sediments
HF22,-71.8963,-105.6188,0.9409780775716695,59.3,2.8,496.0,55.8,S1,Unconsolidated sediments
HF23,-74.5342,-102.6117,0.9482758620689655,5.8,2.8,611.0,5.5,S1,Unconsolidated sediments
HF24,-74.6113,-105.8522,0.9358974358974359,15.6,2.8,626.0,14.6,S1,Unconsolidated sediments
HF25,-72.8327,-106.5022,0.9382352941176471,34.0,2.8,577.0,31.9,S1,Unconsolidated sediments
HF26,-70.3643,-113.9573,1.0,54.4,2.8,3496.0,54.4,S2,Unconsolidated sediments
HF1701,-74.931,-101.556,1.17,26.2,7.0,883.0,30.8,S1,Unconsolidated sediments
HF1702,-74.868,-100.711,1.17,30.2,9.7,700.0,35.4,S2,Unconsolidated sediments
HF1703,-74.986,-101.869,1.17,41.3,4.8,980.0,48.5,S1,Unconsolidated sediments
HF1704,-75.031,-101.939,1.17,44.6,3.6,950.0,52.4,S2,Unconsolidated sediments
HF1705,-74.942,-102.295,1.17,51.9,3.6,936.0,60.9,S1,Unconsolidated sediments
HF1706,-74.684,-101.622,1.17,94.9,1.8,345.0,111.4,S1,Unconsolidated sediments
HF1708,-74.838,-101.044,1.17,35.6,7.6,530.0,41.7,S2,Unconsolidated sediments
HF1709,-74.549,-102.586,1.17,25.2,3.0,600.0,29.5,S1,Unconsolidated sediments
HF1710,-74.803,-102.344,1.17,55.0,3.5,1000.0,64.5,S2,Unconsolidated sediments
HF1711,-74.359,-104.747,1.17,55.8,3.8,1384.0,65.4,S3,Unconsolidated sediments
HF1712,-74.355,-104.757,1.17,51.0,3.8,1387.0,59.8,S3,Unconsolidated sediments
HF1714,-72.891,-104.099,1.17,92.1,0.7,490.0,108.1,S1,Unconsolidated sediments
HF1716,-74.417,-103.005,1.17,97.6,3.8,740.0,114.6,S1,Unconsolidated sediments
HF1717,-74.416,-103.001,1.17,54.0,4.9,740.0,63.3,S3,Unconsolidated sediments
HF1718,-74.415,-102.998,1.17,57.5,4.9,740.0,67.5,S3,Unconsolidated sediments
HF1719,-74.414,-102.995,1.17,57.4,4.9,737.0,67.4,S3,Unconsolidated sediments
HF1720,-74.413,-102.992,1.17,59.4,4.9,740.0,69.7,S3,Unconsolidated sediments
HF1721,-74.412,-102.988,1.17,57.7,4.9,735.0,67.7,S3,Unconsolidated sediments
HF1722,-74.416,-102.987,1.17,65.4,4.9,735.0,76.7,S3,Unconsolidated sediments
HF1723,-74.33,-104.822,1.17,62.1,4.9,1400.0,72.9,S3,Unconsolidated sediments
