case,source,P,V,A,rho,k,Lv,dT,Pi,Pore
lpbf_porosity,Al2024,400.0,1.0,0.04,2500.0,85.5,12200000.0,1887.0,18.74751855972713,0.0
lpbf_porosity,Al2024,400.0,1.5,0.04,2500.0,85.5,12200000.0,1887.0,28.121277839590693,0.0
lpbf_porosity,Al2024,400.0,2.0,0.04,2500.0,85.5,12200000.0,1887.0,37.49503711945426,0.0
lpbf_porosity,Al2024,400.0,2.5,0.04,2500.0,85.5,12200000.0,1887.0,46.86879639931782,0.0
lpbf_porosity,Al2024,400.0,3.0,0.04,2500.0,85.5,12200000.0,1887.0,56.242555679181386,0.0
lpbf_porosity,Al2024,400.0,3.5,0.04,2500.0,85.5,12200000.0,1887.0,65.61631495904496,0.0
lpbf_porosity,Al2024,400.0,4.0,0.04,2500.0,85.5,12200000.0,1887.0,74.99007423890852,0.0
lpbf_porosity,Al2024,400.0,5.0,0.04,2500.0,85.5,12200000.0,1887.0,93.73759279863565,0.0
lpbf_porosity,Al2024,600.0,1.0,0.04,2500.0,85.5,12200000.0,1887.0,28.121277839590693,0.0017
lpbf_porosity,Al2024,600.0,1.5,0.04,2500.0,85.5,12200000.0,1887.0,42.18191675938604,0.0
lpbf_porosity,Al2024,600.0,2.0,0.04,2500.0,85.5,12200000.0,1887.0,56.242555679181386,0.0
lpbf_porosity,Al2024,600.0,2.5,0.04,2500.0,85.5,12200000.0,1887.0,70.30319459897673,0.0
lpbf_porosity,Al2024,600.0,3.0,0.04,2500.0,85.5,12200000.0,1887.0,84.36383351877208,0.0
lpbf_porosity,Al2024,600.0,3.5,0.04,2500.0,85.5,12200000.0,1887.0,98.42447243856743,0.0
lpbf_porosity,Al2024,600.0,4.0,0.04,2500.0,85.5,12200000.0,1887.0,112.48511135836277,0.0
lpbf_porosity,Al2024,600.0,4.5,0.04,2500.0,85.5,12200000.0,1887.0,126.54575027815812,0.0
lpbf_porosity,Al2024,600.0,5.0,0.04,2500.0,85.5,12200000.0,1887.0,140.60638919795346,0.0
lpbf_porosity,Al2024,800.0,1.0,0.04,2500.0,85.5,12200000.0,1887.0,37.49503711945426,0.0253
lpbf_porosity,Al2024,800.0,1.5,0.04,2500.0,85.5,12200000.0,1887.0,56.242555679181386,0.059
lpbf_porosity,Al2024,800.0,2.0,0.04,2500.0,85.5,12200000.0,1887.0,74.99007423890852,0.00107
lpbf_porosity,Al2024,800.0,2.5,0.04,2500.0,85.5,12200000.0,1887.0,93.73759279863565,0.0
lpbf_porosity,Al2024,800.0,3.0,0.04,2500.0,85.5,12200000.0,1887.0,112.48511135836277,0.0
lpbf_porosity,Al2024,800.0,3.5,0.04,2500.0,85.5,12200000.0,1887.0,131.2326299180899,0.0
lpbf_porosity,Al2024,800.0,4.0,0.04,2500.0,85.5,12200000.0,1887.0,149.98014847781704,0.0
lpbf_porosity,Al2024,800.0,4.5,0.04,2500.0,85.5,12200000.0,1887.0,168.72766703754417,0.0
lpbf_porosity,Al2024,800.0,5.0,0.04,2500.0,85.5,12200000.0,1887.0,187.4751855972713,0.0
lpbf_porosity,Al2024,1000.0,1.0,0.04,2500.0,85.5,12200000.0,1887.0,46.86879639931782,0.0186
lpbf_porosity,Al2024,1000.0,1.5,0.04,2500.0,85.5,12200000.0,1887.0,70.30319459897673,0.0377
lpbf_porosity,Al2024,1000.0,2.0,0.04,2500.0,85.5,12200000.0,1887.0,93.73759279863565,0.236
lpbf_porosity,Al2024,1000.0,2.5,0.04,2500.0,85.5,12200000.0,1887.0,117.17199099829456,0.0138
lpbf_porosity,Al2024,1000.0,3.0,0.04,2500.0,85.5,12200000.0,1887.0,140.60638919795346,0.0
lpbf_porosity,Al2024,1000.0,3.5,0.04,2500.0,85.5,12200000.0,1887.0,164.04078739761238,0.0
lpbf_porosity,Al2024,1000.0,4.0,0.04,2500.0,85.5,12200000.0,1887.0,187.4751855972713,0.00293
lpbf_porosity,Al2024,1000.0,4.5,0.04,2500.0,85.5,12200000.0,1887.0,210.9095837969302,0.0
lpbf_porosity,Al2024,1000.0,5.0,0.04,2500.0,85.5,12200000.0,1887.0,234.34398199658912,0.00491
lpbf_porosity,Al6061,100.0,1.0,0.04,2415.0,90.0,12200000.0,1877.0,4.129746492288426,0.0
lpbf_porosity,Al6061,200.0,1.0,0.04,2415.0,90.0,12200000.0,1877.0,8.259492984576852,0.0
lpbf_porosity,Al6061,100.0,1.5,0.04,2415.0,90.0,12200000.0,1877.0,6.194619738432639,0.0
lpbf_porosity,Al6061,200.0,1.5,0.04,2415.0,90.0,12200000.0,1877.0,12.389239476865278,0.0
lpbf_porosity,Al6061,100.0,2.0,0.04,2415.0,90.0,12200000.0,1877.0,8.259492984576852,0.0
lpbf_porosity,Al6061,200.0,2.0,0.04,2415.0,90.0,12200000.0,1877.0,16.518985969153704,0.0
lpbf_porosity,Al6061,1000.0,6.0,0.04,2415.0,90.0,12200000.0,1877.0,247.78478953730556,0.33
lpbf_porosity,Al6061,800.0,6.0,0.04,2415.0,90.0,12200000.0,1877.0,198.22783162984445,0.044
lpbf_porosity,Al6061,600.0,6.0,0.04,2415.0,90.0,12200000.0,1877.0,148.67087372238333,0.0305
lpbf_porosity,Al6061,1000.0,7.0,0.04,2415.0,90.0,12200000.0,1877.0,289.0822544601898,0.536
lpbf_porosity,Al6061,800.0,7.0,0.04,2415.0,90.0,12200000.0,1877.0,231.26580356815185,0.1605
lpbf_porosity,Al6061,600.0,7.0,0.04,2415.0,90.0,12200000.0,1877.0,173.44935267611388,0.059
lpbf_porosity,Al6061,800.0,7.5,0.04,2415.0,90.0,12200000.0,1877.0,247.78478953730556,0.27
lpbf_porosity,Al6061,600.0,7.5,0.04,2415.0,90.0,12200000.0,1877.0,185.83859215297917,0.0
lpbf_porosity,Cu,400.0,1.0,0.12,7960.0,146.0,5310000.0,1477.0,43.62968967616188,0.0
lpbf_porosity,Cu,400.0,1.5,0.12,7960.0,146.0,5310000.0,1477.0,65.44453451424283,0.0
lpbf_porosity,Cu,400.0,2.0,0.12,7960.0,146.0,5310000.0,1477.0,87.25937935232376,0.0
lpbf_porosity,Cu,400.0,2.5,0.12,7960.0,146.0,5310000.0,1477.0,109.0742241904047,0.0
lpbf_porosity,Cu,400.0,3.0,0.12,7960.0,146.0,5310000.0,1477.0,130.88906902848566,0.0
lpbf_porosity,Cu,400.0,3.5,0.12,7960.0,146.0,5310000.0,1477.0,152.70391386656658,0.0
lpbf_porosity,Cu,400.0,4.0,0.12,7960.0,146.0,5310000.0,1477.0,174.51875870464752,0.0
lpbf_porosity,Cu,400.0,5.0,0.12,7960.0,146.0,5310000.0,1477.0,218.1484483808094,0.0
lpbf_porosity,Cu,600.0,1.0,0.12,7960.0,146.0,5310000.0,1477.0,65.44453451424283,0.0
lpbf_porosity,Cu,600.0,1.5,0.12,7960.0,146.0,5310000.0,1477.0,98.16680177136423,0.0
lpbf_porosity,Cu,600.0,2.0,0.12,7960.0,146.0,5310000.0,1477.0,130.88906902848566,0.024
lpbf_porosity,Cu,600.0,2.5,0.12,7960.0,146.0,5310000.0,1477.0,163.61133628560705,0.0
lpbf_porosity,Cu,600.0,3.0,0.12,7960.0,146.0,5310000.0,1477.0,196.33360354272847,0.0
lpbf_porosity,Cu,600.0,3.5,0.12,7960.0,146.0,5310000.0,1477.0,229.05587079984988,0.0
lpbf_porosity,Cu,600.0,4.0,0.12,7960.0,146.0,5310000.0,1477.0,261.77813805697133,0.0
lpbf_porosity,Cu,600.0,4.5,0.12,7960.0,146.0,5310000.0,1477.0,294.5004053140927,0.0
lpbf_porosity,Cu,600.0,5.0,0.12,7960.0,146.0,5310000.0,1477.0,327.2226725712141,0.0
lpbf_porosity,Cu,800.0,1.0,0.12,7960.0,146.0,5310000.0,1477.0,87.25937935232376,0.000591
lpbf_porosity,Cu,800.0,1.5,0.12,7960.0,146.0,5310000.0,1477.0,130.88906902848566,0.000183
lpbf_porosity,Cu,800.0,2.0,0.12,7960.0,146.0,5310000.0,1477.0,174.51875870464752,0.0
lpbf_porosity,Cu,800.0,2.5,0.12,7960.0,146.0,5310000.0,1477.0,218.1484483808094,0.0
lpbf_porosity,Cu,800.0,3.0,0.12,7960.0,146.0,5310000.0,1477.0,261.77813805697133,0.00322
lpbf_porosity,Cu,800.0,3.5,0.12,7960.0,146.0,5310000.0,1477.0,305.40782773313316,0.0213
lpbf_porosity,Cu,800.0,4.0,0.12,7960.0,146.0,5310000.0,1477.0,349.03751740929505,0.126
lpbf_porosity,Cu,800.0,4.5,0.12,7960.0,146.0,5310000.0,1477.0,392.66720708545694,0.14
lpbf_porosity,Cu,800.0,5.0,0.12,7960.0,146.0,5310000.0,1477.0,436.2968967616188,0.0724
lpbf_porosity,Cu,1000.0,1.0,0.12,7960.0,146.0,5310000.0,1477.0,109.0742241904047,0.000652
lpbf_porosity,Cu,1000.0,1.5,0.12,7960.0,146.0,5310000.0,1477.0,163.61133628560705,0.000119
lpbf_porosity,Cu,1000.0,2.0,0.12,7960.0,146.0,5310000.0,1477.0,218.1484483808094,0.00212
lpbf_porosity,Cu,1000.0,2.5,0.12,7960.0,146.0,5310000.0,1477.0,272.68556047601174,0.0184
lpbf_porosity,Cu,1000.0,3.0,0.12,7960.0,146.0,5310000.0,1477.0,327.2226725712141,0.0348
lpbf_porosity,Cu,1000.0,3.5,0.12,7960.0,146.0,5310000.0,1477.0,381.75978466641646,0.0603
lpbf_porosity,Cu,1000.0,4.0,0.12,7960.0,146.0,5310000.0,1477.0,436.2968967616188,0.35
lpbf_porosity,Cu,1000.0,4.5,0.12,7960.0,146.0,5310000.0,1477.0,490.8340088568212,0.0606
lpbf_porosity,Cu,1000.0,5.0,0.12,7960.0,146.0,5310000.0,1477.0,545.3711209520235,0.671
lpbf_porosity,Cu,400.0,0.5,0.12,7960.0,146.0,5310000.0,1477.0,21.81484483808094,0.0009
lpbf_porosity,Cu,400.0,0.75,0.12,7960.0,146.0,5310000.0,1477.0,32.722267257121416,0.0
lpbf_porosity,Cu,600.0,0.75,0.12,7960.0,146.0,5310000.0,1477.0,49.08340088568212,0.0
lpbf_porosity,Cu,800.0,0.75,0.12,7960.0,146.0,5310000.0,1477.0,65.44453451424283,0.0008
lpbf_porosity,Cu,1000.0,0.75,0.12,7960.0,146.0,5310000.0,1477.0,81.80566814280353,0.0
lpbf_porosity,Cu,600.0,3.25,0.12,7960.0,146.0,5310000.0,1477.0,212.69473717128918,0.0
lpbf_porosity,Cu,600.0,3.75,0.12,7960.0,146.0,5310000.0,1477.0,245.4170044284106,0.0
lpbf_porosity,Cu,800.0,5.5,0.12,7960.0,146.0,5310000.0,1477.0,479.9265864377807,0.0364
lpbf_porosity,Cu,1000.0,5.5,0.12,7960.0,146.0,5310000.0,1477.0,599.9082330472258,0.4818
lpbf_porosity,Cu,1000.0,5.25,0.12,7960.0,146.0,5310000.0,1477.0,572.6396769996247,0.6554
lpbf_porosity,Cu,1000.0,5.75,0.12,7960.0,146.0,5310000.0,1477.0,627.1767890948271,0.5703
lpbf_porosity,Cu,800.0,6.0,0.12,7960.0,146.0,5310000.0,1477.0,523.5562761139427,0.0956
lpbf_porosity,Cu,1000.0,6.0,0.12,7960.0,146.0,5310000.0,1477.0,654.4453451424282,0.4459
lpbf_porosity,Cu,600.0,5.5,0.12,7960.0,146.0,5310000.0,1477.0,359.9449398283355,0.0
lpbf_porosity,Cu,1000.0,6.5,0.12,7960.0,146.0,5310000.0,1477.0,708.9824572376306,0.5262
lpbf_porosity,Cu,800.0,6.5,0.12,7960.0,146.0,5310000.0,1477.0,567.1859657901044,0.0565
lpbf_porosity,Cu,1000.0,7.0,0.12,7960.0,146.0,5310000.0,1477.0,763.5195693328329,0.5148
lpbf_porosity,Cu,800.0,7.0,0.12,7960.0,146.0,5310000.0,1477.0,610.8156554662663,0.0235
lpbf_porosity,Cu,1000.0,7.5,0.12,7960.0,146.0,5310000.0,1477.0,818.0566814280353,0.4583
lpbf_porosity,Cu,800.0,7.5,0.12,7960.0,146.0,5310000.0,1477.0,654.4453451424282,0.07617
lpbf_porosity,Cu,600.0,6.0,0.12,7960.0,146.0,5310000.0,1477.0,392.66720708545694,0.0
