Index,Angle,Porosity,Surface_Area,Permeability_X
1,0,61.80419922,6180,3.9701102
2,10,61.09313965,6426,3.5281894
3,20,61.13586426,6527,3.3340752
4,30,61.07940674,6342,3.334668
5,40,61.37542725,6079,3.50043
6,50,61.85150146,6046,3.5238106
7,60,61.7980957,6260,3.5099907
8,70,61.5737915,6387,3.592445
9,80,62.38555908,6187,3.6441338
10,90,61.80877686,6166,4.071204
11,100,61.12213135,6411,3.873822
12,110,61.09771729,6528,3.857875
13,120,61.08856201,6340,3.877784
14,130,61.37237549,6075,3.8680842
15,140,61.8637085,6043,4.1634226
16,150,61.78436279,6263,4.120446
17,160,61.63330078,6376,4.067409
18,170,62.40997314,6207,3.8378131
19,180,61.80877686,6144,3.9687817
20,190,61.15570068,6428,3.5208557
21,200,61.14044189,6514,3.2656832
22,210,61.08856201,6353,3.2521465
23,220,61.36016846,6073,3.428059
24,230,61.88354492,6035,3.4361122
25,240,61.74163818,6289,3.4221187
26,250,61.59362793,6376,3.5028799
27,260,62.3916626,6180,3.598538
28,270,61.80267334,6158,4.0632825
29,280,61.12365723,6441,3.876878
30,290,61.18164063,6511,3.8327672
31,300,61.07940674,6355,3.8261764
32,310,61.36169434,6076,3.8308225
33,320,61.87591553,6037,4.1200857
34,330,61.75537109,6286,4.0785937
35,340,61.53564453,6387,4.037325
36,350,62.3626709,6160,3.7994218
37,360,61.80419922,6180,3.9701102
38,0,68.5546875,4995,7.543496
39,10,68.78662109,5110,7.413278
40,20,69.03076172,5137,7.5732474
41,30,68.76220703,5032,8.068145
42,40,69.13452148,4831,8.082825
43,50,69.29779053,4798,8.176099
44,60,68.82019043,5034,8.172657
45,70,68.29833984,5131,8.108343
46,80,68.74237061,4995,8.339203
47,90,68.52722168,4999,8.600572
48,100,68.84613037,5085,8.424275
49,110,69.0322876,5124,8.329163
50,120,68.82171631,5021,7.735897
51,130,69.1619873,4822,7.13174
52,140,69.33441162,4805,6.913829
53,150,68.82171631,5037,6.9320297
54,160,68.36242676,5114,6.8869076
55,170,68.7789917,5001,6.9028974
56,180,68.51501465,5004,7.526895
57,190,68.83239746,5108,7.4054413
58,200,69.10095215,5115,7.5911164
59,210,68.83850098,5019,8.085409
60,220,69.15893555,4822,8.148155
61,230,69.32067871,4798,8.1066475
62,240,68.79272461,5052,8.131892
63,250,68.29833984,5117,8.030004
64,260,68.71795654,4991,8.2486
65,270,68.54095459,5000,8.602977
66,280,68.77746582,5131,8.456931
67,290,69.10247803,5128,8.376923
68,300,68.7789917,5030,7.7489243
69,310,69.13299561,4830,7.149917
70,320,69.28863525,4790,6.9458437
71,330,68.78967285,5049,6.928187
72,340,68.23577881,5134,6.8964458
73,350,68.67523193,4984,6.8897038
74,360,68.5546875,4995,7.543496
75,0,73.28491211,4242,12.049756
76,10,72.95837402,4482,11.40857
77,20,72.83935547,4517,11.321994
78,30,73.14605713,4318,11.947537
79,40,73.40240479,4239,12.21516
